id;name;host_id;neighbourhood_group;latitude;longitude;is_entire_home;price;number_of_reviews;last_review
19714231;Nuevo Nervion Dos Baños;136322929;Nervión;37.38284;-5.9686;true;68;2;24/10/2018
19800719;Apartamento perfecto en pleno casco histórico;107752653;Casco Antiguo;37.3923;-5.99349;true;69;62;14/02/2020
19805535;Céntrico apartamento con patio privado;117301706;Casco Antiguo;37.39666;-5.9982;true;45;14;25/02/2020
19823222;WOMEN ONLY. Habitación privada solo para mujeres;79703839;Triana;37.37822;-6.01113;false;20;187;04/01/2021
19839168;Histórico Corral del conde S.XVI con Parking;14958822;Casco Antiguo;37.39214;-5.98665;true;46;144;18/03/2020
19841846;Enjoy This Chic Historic City Home with Family and Friends;26997405;Casco Antiguo;37.38739;-5.9872;true;514;75;24/02/2020
19842177;Amplio y confortable loft en el centro histórico;62125780;Nervión;37.38833;-5.98456;true;109;38;29/02/2020
19842844;Alcazares;73489552;Casco Antiguo;37.39479;-5.99029;true;185;33;01/03/2020
19852587;NEW! CENTRAL PENTHOUSE WITH PRIVATE TERRACE + A/C;60804791;Casco Antiguo;37.40246;-5.99244;true;98;178;25/10/2020
19868828;Habitacion privada con cama de matrimonio de 1.35;71655464;Palmera - Bellavista;37.35554;-5.97856;false;35;11;29/02/2020
19875858;Center Loft Sevilla - Alameda;138733620;Casco Antiguo;37.40073;-5.99314;true;49;2;20/12/2019
19896822;Habitacion Privada A.Casa en pleno Triana;140879544;Triana;37.3863;-6.00659;false;20;36;02/03/2020
19905945;CAMPANA Apart. 16  CITY CENTER. OZONE Disinfection;20505911;Casco Antiguo;37.39339;-5.99451;true;58;6;09/02/2020
19926229;Rooftop-terrace, room with balcony, Seville Center;31156788;Casco Antiguo;37.39744;-5.98765;false;25;48;16/03/2020
19927685;Rooftop-terrace room with balcony;31156788;Casco Antiguo;37.39614;-5.98837;false;25;43;26/09/2018
19939214;Céntrico, Habitación Individual. 104;5889301;Casco Antiguo;37.39117;-5.99597;false;17;27;13/02/2021
19939429;Céntrico, Habitación Individual. 314;5889301;Casco Antiguo;37.39154;-5.99568;false;17;2;07/01/2019
19943217;Piso en carretera Carmona, muy tranquilo;7977434;Macarena;37.40355;-5.96916;false;25;27;09/03/2020
19980937;Luxury apart 200 m from the Cathedral WIFI CLIM;141709531;Casco Antiguo;37.38339;-5.99309;true;160;56;08/11/2020
19995881;Piso de lujo en pleno centro histórico;135867871;Casco Antiguo;37.38813;-5.98587;true;65;3;30/12/2019
20029479;Guzmán el Bueno. 1-bedroom in Santa Cruz;89331773;Casco Antiguo;37.3873;-5.99016;true;76;32;12/03/2020
20043159;City Rooftop Paradise;57717385;Casco Antiguo;37.38633;-5.9956;true;116;141;23/02/2021
